molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,lipinski
CHEMBL549571,23.0,nM,O=S(=O)(c1cccc2nonc12)n1ccc2ncc(N3CCNCC3)cc21,7.638272163982407,384.10045937200005,9,1,1.2190999999999999,True
CHEMBL2376659,23.0,nM,C[C@@H](Oc1c[nH]c(=O)c(C(=O)Nc2ccc3c(c2)CN(CCN(C)C)C3=O)c1)c1c(Cl)ccc(F)c1Cl,7.638272163982407,546.12368886,5,2,4.730500000000004,True
CHEMBL3678511,23.0,nM,[C-]#[N+]C1=C(C)Nc2onc(C)c2C1c1cc2c(C)n[nH]c2cc1F,7.638272163982407,323.118238288,4,2,4.015030000000002,True
CHEMBL4538461,23.0,nM,COC(=O)Nc1nc2cc(OS(=O)(=O)c3c(Cl)cccc3Cl)ccc2[nH]1,7.638272163982407,414.97964681200006,6,2,3.8157000000000014,True
CHEMBL602471,23.0,nM,C[C@@H](Oc1ccc2ncc(/C=C/C(N)=O)cc2c1)c1c(Cl)ccc(F)c1Cl,7.638272163982407,404.0494613,3,1,5.319200000000003,True
CHEMBL3680042,23.0,nM,[C-]#[N+]C1=C(C)N=C(C)C(C#N)C1c1cc2c(N)nccc2o1,7.638272163982407,291.11201003599996,5,1,3.2586700000000013,True
CHEMBL3703571,23.0,nM,[C-]#[N+]C1=C(c2ccccc2)NC(C(F)F)=C(C#N)C1c1ccc2[nH]nc(C)c2c1,7.638272163982407,387.1295519200001,3,2,4.888990000000003,True
CHEMBL1823251,23.0,nM,Cc1ccc2c(c1Br)/C(=N/NC(=O)Cc1ccc(O)cc1)C(=O)N2,7.638272163982407,387.02185340799997,4,3,2.4782199999999994,True
CHEMBL2431815,23.0,nM,C[C@@H](c1c[nH]c2ncccc12)c1nnc2ccc(-c3ccc(C#N)cc3)nn12,7.638272163982407,365.1388934800001,6,1,3.691080000000002,True
CHEMBL2431836,23.0,nM,CC(C)Nc1ccc2nnc([C@@H](C)c3ccc4ncccc4c3)n2n1,7.638272163982407,332.17494464000004,6,1,3.6446000000000023,True
CHEMBL3221111,23.3,nM,CN1CCN(c2cnc3cc(C(F)(F)F)cc(NCc4cccc(C#N)c4)c3c2)CC1,7.632644078973981,425.182730364,5,1,4.489180000000004,True
CHEMBL4292983,23.4,nM,Cc1c(OCC(O)CO)cn2ncnc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)c12,7.6307841425898575,553.17728996,9,4,3.1976200000000006,True
CHEMBL3704006,24.0,nM,Cn1cc(-c2ccc3nnc(Sc4ccc5ncc(CN6CCOCC6)cc5c4)n3c2)cn1,7.619788758288394,457.1684793560001,9,0,3.6614000000000013,True
CHEMBL3674501,24.0,nM,C/C(=N\N(C)C(N)=O)c1ccc2ncc(C(O)c3c(F)cc4ncccc4c3F)n2n1,7.619788758288394,425.1411792240001,7,2,2.371900000000001,True
CHEMBL3417478,24.0,nM,O=C(Nc1cccc(Cn2nc(-n3ccc4ccc(F)cc43)ccc2=O)c1)OCCCCN1CCOCC1,7.619788758288394,519.22818266,8,1,4.0355000000000025,True
CHEMBL1642133,24.0,nM,CNC(=O)c1cccc(Cl)c1Nc1nc(Nc2ccc3c(c2)CCN(CCOC)CC3)ncc1Cl,7.619788758288394,514.165079496,7,3,4.677200000000004,True
CHEMBL560575,24.0,nM,O=S(=O)(c1c(Cl)nc2sccn12)n1ccc2ncc(N3CCNCC3)cc21,7.619788758288394,422.03864340000007,9,1,2.0454999999999997,True
CHEMBL1822793,24.0,nM,O=S(=O)(c1c(Cl)nc2sccn12)[N+]1=C2C=C(N3CCNCC3)C=NC2C=C1,7.619788758288394,423.0459198520901,8,1,0.9607999999999999,True
CHEMBL1822553,24.0,nM,O=C(Cc1ccc(O)cc1)N/N=C1\C(=O)Nc2ccc(C(=O)N3CCC(NC4CC4)CC3)c(Cl)c21,7.619788758288394,495.167331992,6,4,2.4173,True
CHEMBL3660147,24.0,nM,Cn1cc(-c2ncc3nnn(Cc4ccc5ncccc5c4)c3n2)cn1,7.619788758288394,342.13414244800003,8,0,2.2183,True
CHEMBL1823249,24.0,nM,O=C(Cc1ccc(O)cc1)N/N=C1\C(=O)Nc2ccc(Br)cc21,7.619788758288394,373.006203344,4,3,2.1697999999999995,True
CHEMBL3651415,24.0,nM,C/C(=N\OCC1CC1)c1ccc2nnc([C@@H](C)c3c(F)cc4ncccc4c3F)n2n1,7.619788758288394,422.16666570000007,7,0,4.2531000000000025,True
CHEMBL1099175,24.0,nM,O=C(Nc1ccccc1Cl)c1cccnc1Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,7.619788758288394,473.10548068400004,5,3,6.538600000000002,True
CHEMBL1939491,24.0,nM,CNC(=O)c1cccc(F)c1Nc1nc(Nc2ccc3c(c2)NC(=O)[C@H](NC(=O)N2CCCC2)CC3(C)C)ncc1Cl,7.619788758288394,594.226992784,7,5,4.9097000000000035,True
CHEMBL1939494,24.0,nM,CNC(=O)c1cccc(F)c1Nc1nc(Nc2ccc3c(c2)NC(=O)[C@@H](NC(=O)OC)CC3(C)C)ncc1Cl,7.619788758288394,555.1797082439999,8,5,4.460300000000003,True
CHEMBL2431832,24.0,nM,C[C@@H](c1ccc2ncccc2c1)c1nnc2ccc(-c3ccc(S(C)(=O)=O)cc3)nn12,7.619788758288394,429.1259458480001,7,0,3.8948000000000027,True
CHEMBL3334545,24.0,nM,Cn1cc(-c2cnc3nnn(Cc4ccc5nccn5n4)c3n2)cn1,7.619788758288394,332.12464038400003,10,0,0.7127999999999999,True
CHEMBL1822363,24.0,nM,O=C(Cc1ccc2c(c1)CCO2)N/N=C1\C(=O)Nc2cc(C(=O)NCCN3CCOCC3)ccc21,7.619788758288394,477.201218964,7,3,0.6986000000000014,True
CHEMBL2376654,24.0,nM,C[C@@H](Oc1c[nH]c(=O)c(C(=O)Nc2ccc(CN3CCN(C)CC3)cc2)c1)c1c(Cl)ccc(F)c1Cl,7.619788758288394,532.144424304,5,2,4.960500000000004,True
CHEMBL3648229,24.0,nM,CO/N=C(\C)c1ccc2ncc(C(O)c3c(F)cc4ncccc4c3F)n2n1,7.619788758288394,383.1193811600001,7,1,3.0078000000000005,True
CHEMBL3959949,24.0,nM,Fc1cc(Nc2cc(Nc3cccc(Cl)c3)ncn2)ccc1Oc1ccncc1-c1cccnc1,7.619788758288394,484.121465096,7,2,7.005600000000004,True
